SrcName,ncessch,schnam,leaid,gslo,gshi,STUSAB,openEnroll,level,MultiBdy,EXACT_CITY,COUNTY,LEVEL_,ENROLLMENT,SchoolYear,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment_1,DATE,ending_teachingmethod,starting_teachingmethod,ending_staffmaskpolicy,ending_studentmaskpolicy,ending_lastverifieddate,District_nces,OpenDateGrouped,starting_staffmaskpolicy,starting_studentmaskpolicy,starting_lastverifieddate
NA,3.90E+11,Ada Elementary School,3904518,KG,6,OH,0,1,0,ADA,HARDIN,ELEMENTARY,452,2020-2021,Ada Exempted Village Schools,Public,ADA,OH,879,8/24/20,Hybrid,On Premises,Required for all staff,Required for all students,1/12/21,3904518,8/26/20,Required for all staff,Required for all students,10/15/20
NA,3.90E+11,Ada High School,3904518,7,12,OH,0,3,0,ADA,HARDIN,HIGH,429,2020-2021,Ada Exempted Village Schools,Public,ADA,OH,879,8/24/20,Hybrid,On Premises,Required for all staff,Required for all students,1/12/21,3904518,8/26/20,Required for all staff,Required for all students,10/15/20
NA,3.91E+11,North Adams High School,3906190,7,12,OH,0,3,0,SEAMAN,ADAMS,HIGH,541,2020-2021,Adams County Ohio Valley School District,Public,West Union,OH,4044,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,1/15/21,3906190,8/26/20,Required for all staff,Required for all students,10/7/20
NA,3.91E+11,Peebles Elementary School,3906190,PK,6,OH,0,1,0,PEEBLES,ADAMS,ELEMENTARY,599,2020-2021,Adams County Ohio Valley School District,Public,West Union,OH,4044,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,1/15/21,3906190,8/26/20,Required for all staff,Required for all students,10/7/20
NA,3.91E+11,Peebles High School,3906190,7,12,OH,0,3,0,PEEBLES,ADAMS,HIGH,431,2020-2021,Adams County Ohio Valley School District,Public,West Union,OH,4044,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,1/15/21,3906190,8/26/20,Required for all staff,Required for all students,10/7/20
NA,3.91E+11,North Adams Elementary School,3906190,PK,6,OH,0,1,0,SEAMAN,ADAMS,ELEMENTARY,696,2020-2021,Adams County Ohio Valley School District,Public,West Union,OH,4044,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,1/15/21,3906190,8/26/20,Required for all staff,Required for all students,10/7/20
NA,3.91E+11,West Union Elementary School,3906190,PK,6,OH,0,1,0,WEST UNION,ADAMS,ELEMENTARY,775,2020-2021,Adams County Ohio Valley School District,Public,West Union,OH,4044,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,1/15/21,3906190,8/26/20,Required for all staff,Required for all students,10/7/20
NA,3.91E+11,West Union High School,3906190,7,12,OH,0,3,0,WEST UNION,ADAMS,HIGH,570,2020-2021,Adams County Ohio Valley School District,Public,West Union,OH,4044,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,1/15/21,3906190,8/26/20,Required for all staff,Required for all students,10/7/20
NA,3.90E+11,Adena Middle School,3904949,6,8,OH,0,2,0,FRANKFORT,ROSS,MIDDLE,385,2020-2021,Adena Local School District,Public,Frankfort,OH,1272,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/13/20,3904949,9/9/20,Required for all staff,Required for all students,10/13/20
NA,3.90E+11,Adena High School,3904949,9,12,OH,0,3,0,FRANKFORT,ROSS,HIGH,314,2020-2021,Adena Local School District,Public,Frankfort,OH,1272,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/13/20,3904949,9/9/20,Required for all staff,Required for all students,10/13/20
NA,3.90E+11,Adena Elementary School,3904949,KG,5,OH,0,1,0,FRANKFORT,ROSS,ELEMENTARY,489,2020-2021,Adena Local School District,Public,Frankfort,OH,1272,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,10/13/20,3904949,9/9/20,Required for all staff,Required for all students,10/13/20
Resnik ES,3.90E+11,Judith A Resnik Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,383,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Findley ES,3.90E+11,Findley Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,614,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Firestone (HS),3.90E+11,Firestone High School,3904348,8,12,OH,0,3,0,AKRON,SUMMIT,HIGH,1282,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Firestone Park ES,3.90E+11,Firestone Park Elementary School,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,318,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Forest Hill ES,3.90E+11,Forest Hill Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,380,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Barber ES,3.90E+11,Barber Community Learning Center,3904348,KG,6,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,304,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Garfield (HS),3.90E+11,Garfield High School,3904348,8,12,OH,0,3,0,AKRON,SUMMIT,HIGH,1014,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
Glover ES,3.90E+11,Glover Community Learning Center,3904348,KG,5,OH,0,1,0,AKRON,SUMMIT,ELEMENTARY,299,2020-2021,Akron Public Schools,Public,Akron,OH,21579,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,1/14/21,3904348,9/9/20,Required for all staff,Required for all students,9/17/20
