,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
0,Monroe Jr./Sr. High School,3900094,7,12,0.0,3.0,0,BUTLER,729.0,Monroe Local School District,Monroe,2480.0,2020-08-24,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-08-26,2480.0,2319.0,2480.0,55213.0
1,Monroe Elementary School,3900094,2,6,0.0,1.0,0,BUTLER,1134.0,Monroe Local School District,Monroe,2480.0,2020-08-24,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-08-26,2480.0,2319.0,2480.0,55213.0
2,Monroe Primary School,3900094,PK,1,0.0,1.0,0,BUTLER,456.0,Monroe Local School District,Monroe,2480.0,2020-08-24,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-08-26,2480.0,2319.0,2480.0,55213.0
3,Manchester High School,3900537,7,12,0.0,3.0,0,ADAMS,374.0,Manchester Local School District,Manchester,932.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,932.0,879.0,932.0,4976.0
4,Manchester Elementary School,3900537,PK,6,0.0,1.0,0,ADAMS,505.0,Manchester Local School District,Manchester,932.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,932.0,879.0,932.0,4976.0
5,Judith A Resnik Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,383.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
6,Findley Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,614.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
7,Firestone High School,3904348,8,12,0.0,3.0,0,SUMMIT,1282.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
8,Firestone Park Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,318.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
9,Forest Hill Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,380.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
10,Barber Community Learning Center,3904348,KG,6,0.0,1.0,0,SUMMIT,304.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
11,Garfield High School,3904348,8,12,0.0,3.0,0,SUMMIT,1014.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
12,Glover Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,299.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
13,Bettes Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
14,Harris Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,524.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
15,Hatton CLC,3904348,KG,5,0.0,1.0,0,SUMMIT,517.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
16,Sam Salem Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,350.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
17,Hill Community Learning Center,3904348,KG,6,0.0,1.0,0,SUMMIT,316.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
18,Hyre Community Learning Center,3904348,5,8,0.0,2.0,0,SUMMIT,807.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
19,Innes Community Learning Center,3904348,6,8,0.0,2.0,0,SUMMIT,714.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
20,Jennings Community Learning Center,3904348,6,8,0.0,2.0,0,SUMMIT,687.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
21,Kenmore High School,3904348,9,12,0.0,3.0,0,SUMMIT,,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
22,Kent Middle School,3904348,5,8,0.0,2.0,0,SUMMIT,,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
23,King Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,444.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
24,Betty Jane Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,453.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
25,Lawndale Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
26,Leggett Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,370.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
27,Litchfield Middle School,3904348,6,8,0.0,2.0,0,SUMMIT,672.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
28,Mason Community Learning Center,3904348,KG,6,0.0,1.0,0,SUMMIT,249.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
29,McEbright Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,267.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
30,North High School,3904348,8,12,0.0,3.0,0,SUMMIT,914.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
31,Pfeiffer Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,235.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
32,Portage Path Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,303.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
33,Buchtel High School,3904348,6,12,0.0,4.0,0,SUMMIT,850.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
34,Rimer Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,306.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
35,Ritzman Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,360.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
36,Robinson Community Learning Center,3904348,KG,6,0.0,1.0,0,SUMMIT,286.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
37,Schumacher Community Learning Cent,3904348,KG,6,0.0,1.0,0,SUMMIT,446.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
38,Seiberling CLC,3904348,KG,6,0.0,1.0,0,SUMMIT,515.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
39,Smith Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
40,Case Elementary School,3904348,KG,5,0.0,1.0,0,SUMMIT,304.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
41,Voris Community Learning Center,3904348,KG,5,0.0,1.0,0,SUMMIT,346.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
42,Windemere CLC,3904348,KG,5,0.0,1.0,0,SUMMIT,293.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
43,Crouse Community Learning Center,3904348,KG,6,0.0,1.0,0,SUMMIT,381.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
44,East Community Learning Center,3904348,6,12,0.0,4.0,0,SUMMIT,1113.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
45,Ellet High School,3904348,9,12,0.0,3.0,0,SUMMIT,1030.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
46,Miller-South Visual Performing Arts,3904348,4,8,0.0,2.0,0,SUMMIT,482.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
47,Akron Alternative Academy,3904348,9,12,0.0,3.0,0,SUMMIT,239.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
48,Helen Arnold Community Learning Center,3904348,KG,6,0.0,1.0,0,SUMMIT,296.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
