"","geo_value","time_value","part_work_prop_7d","part_work_sample_size","full_work_prop_7d","full_work_sample_size","full_work_std","res_visit_by_pop","bar_visit_by_pop"
"1","39001",2020-01-22,0.0917069438554549,154,0.0643882362802022,154,0.00385571191192565,166.902098015532,NA
"2","39003",2020-01-22,0.0894425459091533,642,0.0642574231203607,642,0.00210666179421076,507.454966440371,NA
"3","39005",2020-01-22,0.105080693400802,308,0.0721946245210161,308,0.00306562468434212,285.987301807277,NA
"4","39007",2020-01-22,0.0798715570959499,651,0.0611361077357119,651,0.00195683780805856,162.411523212926,NA
"5","39009",2020-01-22,0.0913197098019828,336,0.0610383631201892,336,0.00277432135227075,415.431991168439,NA
"6","39011",2020-01-22,0.105964302288048,287,0.0761202600982112,287,0.0035169980517378,234.240941921483,NA
"7","39013",2020-01-22,0.0948696192887017,476,0.0820788849250752,476,0.00280108089058712,543.10352774554,NA
"8","39015",2020-01-22,0.104068316647589,224,0.0773511862293053,224,0.00367007857025697,505.398261930265,NA
"9","39017",2020-01-22,0.106691371192746,1869,0.0776731565897985,1869,0.00142623796550322,633.350519101012,32.2616976911135
"10","39019",2020-01-22,0.103121170951057,175,0.0716757229224289,175,0.00412500538996703,150.664514695986,NA
"11","39021",2020-01-22,0.101788378418088,238,0.0762585992361496,238,0.00368419853918142,30.1526648041942,NA
"12","39023",2020-01-22,0.0921911778928368,952,0.0674061245525958,952,0.00169099950639411,486.557155966766,NA
"13","39025",2020-01-22,0.113683130388875,819,0.083058534988315,819,0.00208875368276591,691.88423839886,62.6146070933405
"14","39027",2020-01-22,0.098836089411312,224,0.070483765573739,224,0.00366400697875433,485.717370929587,NA
"15","39029",2020-01-22,0.0950250871984375,658,0.0760108486921878,658,0.00228171699017331,130.884182324806,NA
"16","39031",2020-01-22,0.0954837756825057,231,0.0670830384658309,231,0.00375858107555622,148.237694618666,NA
"17","39033",2020-01-22,0.0863052481491967,336,0.0611445735380961,336,0.00279925308039057,112.028291802217,NA
"18","39035",2020-01-22,0.0862518600110717,8108,0.0712657330541576,8108,0.000610247310127084,281.472761688383,66.6306707870461
"19","39037",2020-01-22,0.114831772570955,364,0.0677185117523017,364,0.00282369328770235,165.713110957859,NA
"20","39039",2020-01-22,0.0932929000788518,252,0.0700098563480129,252,0.00351111542279885,379.571529884398,NA
"21","39041",2020-01-22,0.132153774807239,616,0.0888085217665419,616,0.00262651860526726,637.118348327059,504.201680672269
"22","39043",2020-01-22,0.0901681840167788,483,0.0661281234303277,483,0.00233455939508646,606.222530219326,NA
"23","39045",2020-01-22,0.102522744644979,651,0.0725366223339891,651,0.00229274903530575,621.155423580779,12.1751834974084
"24","39047",2020-01-22,0.09294217323706,182,0.0709849081119435,182,0.0041983245430115,434.879990346787,NA
"25","39049",2020-01-22,0.0917680181425485,6194,0.0652801193949362,6194,0.000665546238382831,456.337025599857,32.3335589007607
"26","39051",2020-01-22,0.107619639435277,217,0.0893676109492001,217,0.00450173357948263,98.7636163334264,NA
"27","39053",2020-01-22,0.104657073789949,175,0.0759234408617588,175,0.00428527206348765,537.664767028628,NA
"28","39055",2020-01-22,0.112058598682408,447,0.0915521049647047,447,0.00336197686464283,79.9840912065585,3.32010823552848
