"county","leaid","district_enroll","county_enroll","schnam","gslo","gshi","openenroll","level","multibdy","enrollment","districtname","control","physicalcity","physicalstate","enrollment_1","date","teachingmethod","sportsparticipation","onlineinstructionincrease","networkinvestment","hardwareinvestment","staffmaskpolicy","studentmaskpolicy","studentillnessreturnpolicy","studentisolationarea","schooltemporaryshutdown","parentoptoutclassroomteachin_55","lastverifieddate","opendategrouped"
"ADAMS",3900537,932,4976,"Manchester High School","7","12",0,"3",0,374,"Manchester Local School District","Public","Manchester","OH",932,"2020-08-24","Hybrid","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-13","2020-08-26"
"ADAMS",3900537,932,4976,"Manchester Elementary School","PK","6",0,"1",0,505,"Manchester Local School District","Public","Manchester","OH",932,"2020-08-24","Hybrid","Yes","Yes","Yes","Yes","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-13","2020-08-26"
"ADAMS",3906190,4044,4976,"North Adams High School","7","12",0,"3",0,541,"Adams County Ohio Valley School District","Public","West Union","OH",4044,"2020-08-19","Hybrid","Yes","Unknown","Unknown","Unknown","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-15","2020-08-26"
"ADAMS",3906190,4044,4976,"Peebles Elementary School","PK","6",0,"1",0,599,"Adams County Ohio Valley School District","Public","West Union","OH",4044,"2020-08-19","Hybrid","Yes","Unknown","Unknown","Unknown","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-15","2020-08-26"
"ADAMS",3906190,4044,4976,"Peebles High School","7","12",0,"3",0,431,"Adams County Ohio Valley School District","Public","West Union","OH",4044,"2020-08-19","Hybrid","Yes","Unknown","Unknown","Unknown","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-15","2020-08-26"
"ADAMS",3906190,4044,4976,"North Adams Elementary School","PK","6",0,"1",0,696,"Adams County Ohio Valley School District","Public","West Union","OH",4044,"2020-08-19","Hybrid","Yes","Unknown","Unknown","Unknown","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-15","2020-08-26"
"ADAMS",3906190,4044,4976,"West Union Elementary School","PK","6",0,"1",0,775,"Adams County Ohio Valley School District","Public","West Union","OH",4044,"2020-08-19","Hybrid","Yes","Unknown","Unknown","Unknown","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-15","2020-08-26"
"ADAMS",3906190,4044,4976,"West Union High School","7","12",0,"3",0,570,"Adams County Ohio Valley School District","Public","West Union","OH",4044,"2020-08-19","Hybrid","Yes","Unknown","Unknown","Unknown","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2021-01-15","2020-08-26"
"ALLEN",3904388,885,16319,"Franklin Elementary School","KG","6",NA,"1",0,342,"Delphos City School District","Public","Delphos","OH",885,"2020-08-19","On Premises","Yes","No","No","No","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-09","2020-08-26"
"ALLEN",3904388,885,16319,"Landeck Elementary School","1","5",NA,"1",0,100,"Delphos City School District","Public","Delphos","OH",885,"2020-08-19","On Premises","Yes","No","No","No","Required for all staff","Required for all students","Yes","Yes","Never closed","Yes","2020-10-09","2020-08-26"
