county,cases_slope_week_1_3,cases_slope_week_4_6,deaths_slope_week_1_3,deaths_slope_week_4_6,population,population_density,metropolitan_status,nchs_urban_rural_status,major_teaching_start,hybrid_start,on_premises_start,online_only_start,other_start,unknown_start,major_teaching_end,mean_mobility
ADAMS,0.00962724019048534,5.73450707350883e-4,0.05563772505404713,-0.08103634320943041,27960,47.44,Non-metro,Noncore,On_Premises,0.1872990353697749,0.8127009646302251,0,0,0,Hybrid,0.04705427189779864
ALLEN,0.025058412683505487,0.05030320199196906,0.026361977335349562,0.07881430676000496,106160,254.29,Metro,Small metro,Hybrid,0.5843495312212759,0.4156504687787242,0,0,0,Hybrid,0.046594453432334905
ASHLAND,-0.04315569849242911,-0.056884077883197964,0.4742737448558869,-0.3524084543761321,53973,126.45,Non-metro,Micropolitan,Hybrid,0.7270531400966184,0.1297638217928073,0,0.14318303811057434,0,Hybrid,0.04872070611200135
ASHTABULA,0.011397793677210126,0.061385071144064406,-0.17683651076420398,0.08134035273738695,98637,138.51,Non-metro,Micropolitan,Hybrid,0.39406533122766185,0.2073809325908071,0,0.10730612584157592,0,Hybrid,0.04682071501822881
ATHENS,-0.09258738637833527,-0.0296149764092093,0.1333975769243952,0.031573475842796364,67121,129.71,Non-metro,Micropolitan,Online_Only,0.28264975715056667,0,0.7173502428494334,0,0,Hybrid,0.04226578738743918
AUGLAIZE,0.016530259288205968,0.04613366665580413,0.01409117373773553,0.03458109192954158,46441,113.75,Non-metro,Micropolitan,On_Premises,0.2143724204904103,0.7856275795095897,0,0,0,On_Premises,0.04956704767825424
BELMONT,0.014587452031508023,0.06649087144594037,0.09567702557679665,0.1421652674248349,69738,125.92,Metro,Small metro,Hybrid,0.30577169730654125,0.27327917913638305,0.2854211201368106,0,0,Hybrid,0.05332373603566704
BROWN,-0.006996450230661125,0.12049444635417007,-0.48774896846170235,-0.1631205440900223,44644,88.63,Metro,Large fringe metro,Hybrid,0.4397919722629684,0,0.13935191358847845,0.4208561141485531,0,Hybrid,0.05164386967836648
BUTLER,-0.005372445186939453,0.008794991020833556,-0.01926646215199846,0.028492723893547078,383683,821.24,Metro,Large fringe metro,Hybrid,0.4380490101968739,0.38713708728016955,0.17481390252295656,0,0,Online_Only,0.04955894317250829
CARROLL,-0.12122727493292468,0.030009127544497166,0.03271610031689883,0.14004877794956788,28342,68.2,Metro,Medium metro,Hybrid,1,0,0,0,0,Hybrid,0.051449062646936834
CHAMPAIGN,-0.005069889358263266,0.04798980620967417,0.024389562287342962,0.19308024803557566,39686,90.64,Non-metro,Micropolitan,Hybrid,0.45613015688553166,0.41995932597327135,0.12391051714119698,0,0,On_Premises,0.047741772523232945
