,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,ending_teachingmethod,starting_teachingmethod,ending_staffmaskpolicy,ending_studentmaskpolicy,ending_lastverifieddate,OpenDateGrouped,starting_staffmaskpolicy,starting_studentmaskpolicy,starting_lastverifieddate,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
0,Ada Elementary School,3904518,KG,6,0.0,1,0,HARDIN,452.0,Ada Exempted Village Schools,ADA,879.0,8/24/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-12,8/26/20,Required for all staff,Required for all students,10/15/20,879.0,881.0,881.0,4205.0
1,Ada High School,3904518,7,12,0.0,3,0,HARDIN,429.0,Ada Exempted Village Schools,ADA,879.0,8/24/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-12,8/26/20,Required for all staff,Required for all students,10/15/20,879.0,881.0,881.0,4205.0
2,North Adams High School,3906190,7,12,0.0,3,0,ADAMS,541.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
3,Peebles Elementary School,3906190,PK,6,0.0,1,0,ADAMS,599.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
4,Peebles High School,3906190,7,12,0.0,3,0,ADAMS,431.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
5,North Adams Elementary School,3906190,PK,6,0.0,1,0,ADAMS,696.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
6,West Union Elementary School,3906190,PK,6,0.0,1,0,ADAMS,775.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
7,West Union High School,3906190,7,12,0.0,3,0,ADAMS,570.0,Adams County Ohio Valley School District,West Union,4044.0,8/19/20,Hybrid,On Premises,Required for all staff,Required for all students,2021-01-15,8/26/20,Required for all staff,Required for all students,10/7/20,4044.0,3612.0,4044.0,4976.0
8,Adena Middle School,3904949,6,8,0.0,2,0,ROSS,385.0,Adena Local School District,Frankfort,1272.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/9/20,Required for all staff,Required for all students,10/13/20,1272.0,1188.0,1272.0,11404.0
9,Adena High School,3904949,9,12,0.0,3,0,ROSS,314.0,Adena Local School District,Frankfort,1272.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/9/20,Required for all staff,Required for all students,10/13/20,1272.0,1188.0,1272.0,11404.0
10,Adena Elementary School,3904949,KG,5,0.0,1,0,ROSS,489.0,Adena Local School District,Frankfort,1272.0,9/8/20,Hybrid,Hybrid,Required for all staff,Required for all students,2020-10-13,9/9/20,Required for all staff,Required for all students,10/13/20,1272.0,1188.0,1272.0,11404.0
11,Judith A Resnik Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,383.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
12,Findley Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,614.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
13,Firestone High School,3904348,8,12,0.0,3,0,SUMMIT,1282.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
14,Firestone Park Elementary School,3904348,KG,5,0.0,1,0,SUMMIT,318.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
15,Forest Hill Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,380.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
16,Barber Community Learning Center,3904348,KG,6,0.0,1,0,SUMMIT,304.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
17,Garfield High School,3904348,8,12,0.0,3,0,SUMMIT,1014.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
18,Glover Community Learning Center,3904348,KG,5,0.0,1,0,SUMMIT,299.0,Akron Public Schools,Akron,21579.0,9/9/20,Online Only,Online Only,Required for all staff,Required for all students,2021-01-14,9/9/20,Required for all staff,Required for all students,9/17/20,21579.0,20764.0,21579.0,66890.0
